,Season,TeamID,Seed,OrdinalRank,PIE,FG_PCT,TURNOVER_RATE,OFF_REB_PCT,FT_RATE,4FACTOR,OFF_EFF,DEF_EFF,ASSIST_RATIO,DEF_REB_PCT,FT_PCT,WINPCT,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM_SOS,OppO_SOS,OppD_SOS,AdjEM_NCSOS,Season_ELO
0,2005,1449,1,6.0,0.6040716218117721,0.5419786785745876,0.16379560084673392,0.41510808268767324,0.33492928010569956,0.3910013801949081,121.22524572705237,103.99484126557468,17.610393846251,0.6506968434228625,0.7281551305408724,0.8387096774193549,22.18,120.6,98.4,71.9,0.06,8.61,107.5,98.9,6.73,1889.6594978030218
1,2005,1448,2,2.0,0.6201468257374381,0.5583681133443552,0.16996466514091144,0.39722926726823465,0.47078876277547776,0.4159025794929384,122.67619527237713,106.77497509761719,15.528254181851018,0.6864816263129825,0.6787162486312821,0.8387096774193549,24.86,124.3,99.5,68.9,0.046,10.94,108.4,97.5,4.87,1978.492781435237
2,2005,1211,3,10.0,0.6297513965080703,0.552278295179352,0.16924932140067733,0.3822524805230014,0.4900632993934065,0.41318363943552133,121.99027829925748,106.98747297183172,16.38949218242333,0.698991169933846,0.7416404213650792,0.8620689655172413,17.88,119.3,101.4,67.1,0.012,3.46,104.0,100.5,2.18,1926.7753231880108
3,2005,1257,4,17.0,0.7163403849684283,0.5503400658132027,0.17687425007873755,0.3676805003303814,0.435659740609029,0.4032396500023962,119.99499713924294,94.56292417826351,16.108212105381384,0.6781669298798046,0.7398988978609783,0.8709677419354839,25.78,118.8,93.0,66.3,0.045,6.42,106.1,99.7,-2.03,1936.7477003567528
4,2005,1210,5,38.0,0.6178864409660312,0.5065183451986346,0.18376276125388927,0.34862853286007045,0.3935308768192103,0.3773033664878218,109.03610129499836,96.60433720951121,14.939094369010824,0.673367778576662,0.6790832342452159,0.6333333333333333,19.23,109.2,90.0,68.6,-0.038,10.91,108.9,98.0,-4.87,1884.9810419274372
5,2005,1403,6,42.0,0.5964633456261015,0.5098866972007932,0.1570543898028165,0.33040733872941824,0.37265318070727715,0.36519772118299665,113.87647766297957,102.92936100111864,16.777776622919486,0.6429804176289158,0.7557066823410552,0.6666666666666666,15.47,110.3,94.8,69.0,0.037000000000000005,8.93,108.8,99.9,-3.94,1790.7317838970164
6,2005,1452,7,68.0,0.5380740786001749,0.5269018067377266,0.15341525285315694,0.29459779820006937,0.31374573409124884,0.3550959556620811,113.75127662304617,106.47550494494953,17.81325290044644,0.6593874959346121,0.7454120911592503,0.6774193548387096,15.0,114.1,99.1,63.6,0.08199999999999999,9.14,108.6,99.5,-7.33,1737.5710152878273
7,2005,1334,8,21.0,0.6295557134306233,0.5636453573248742,0.18833618257237428,0.343877760274512,0.40591580323468396,0.40220511111314816,117.03097139438167,102.50116442324838,16.674417944347503,0.7066592410983716,0.7439868455398136,0.896551724137931,14.08,114.5,100.5,63.6,0.091,0.66,103.1,102.4,1.74,1731.115126605216
8,2005,1338,9,41.0,0.6294958126607312,0.528424593404823,0.184973801267044,0.44229296468449275,0.44388054042036384,0.41265396167864327,117.06108463427915,102.00599959276423,16.105042850232074,0.6829334385971646,0.6639505122130868,0.7142857142857143,18.41,114.8,96.3,64.0,-0.057,5.63,106.3,100.7,-10.09,1950.742463762058
9,2005,1166,10,48.0,0.5737139174005217,0.5339342801649819,0.16042280437194423,0.30504895744893656,0.37934850929907216,0.371591481043627,115.69574527300665,104.98233158697116,15.94914017345441,0.6487884388013654,0.7352006752182738,0.696969696969697,14.33,114.3,100.0,63.1,-0.033,4.44,104.9,100.4,-1.69,1754.3852968846145
