,Seed,OrdinalRank,PIE,FG_PCT,TURNOVER_RATE,OFF_REB_PCT,FT_RATE,4FACTOR,OFF_EFF,DEF_EFF,ASSIST_RATIO,DEF_REB_PCT,FT_PCT,WINPCT,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM_SOS,OppO_SOS,OppD_SOS,AdjEM_NCSOS,Season_ELO,result,Season,WTeamID,LTeamID
0,0,-18.0,-0.06585518174642507,0.05254566414989037,-0.02326303570312027,0.02853306939895367,-0.055466776783021754,0.012589104096513593,13.613617001451132,19.95468420257575,2.6505700442652707,0.01312087063132883,0.04522682456163862,-0.1724137931034483,11.290000000000001,17.599999999999994,6.3999999999999915,-7.599999999999994,0.0010000000000000009,16.509999999999998,12.799999999999997,-3.700000000000003,13.229999999999999,131.5012298033928,1,2005,1324,1105
1,13,127.0,-0.031575545564713314,-0.07396343057255145,0.020017043376623023,-0.038345234499175596,0.07116862167202037,-0.021574865033896773,-18.781055345490202,-8.788508096176002,-4.307674851542114,-0.011959371991606016,-0.1436942688644609,-0.08939974457215838,-21.82,-24.10000000000001,-2.299999999999997,-6.200000000000003,0.022,-14.34,-7.700000000000003,6.699999999999989,-6.8100000000000005,-510.83176094751934,0,2005,1329,1368
2,15,215.0,-0.19384216232275248,-0.05255998298506126,-0.029080233648455717,-0.057046342720444565,-0.06833682541662545,-0.04995384396272112,-9.535418833413232,19.75622294407667,-1.6352811301253567,-0.042641845523325395,-0.06782140589388985,-0.4916573971078977,-33.970000000000006,-14.400000000000006,19.599999999999994,-7.8999999999999915,-0.033,-9.65,-3.5,6.1000000000000085,10.11,-536.6645687415414,0,2005,1314,1324
3,-3,-55.0,-0.0050311366667490365,-0.03917026476929364,-0.007003264515449692,0.045267689865010174,0.01598225549171095,-0.005968045739821126,-2.974829223414744,-0.596985562824699,-2.4207452278337573,0.01720624187846953,-0.014262791901298089,0.15625,-6.779999999999999,-3.4000000000000057,3.4000000000000057,7.499999999999993,0.10400000000000001,-6.370000000000001,-3.3999999999999915,2.9000000000000057,2.08,-99.30986800543837,0,2005,1301,1150
4,-1,9.0,-0.055363707397843576,-0.021139508461831047,-0.00943469718392656,-0.05802098726149946,-0.03547552263830023,-0.02774000352875905,-3.497654945967909,2.8840553002320917,-1.319576870960388,-0.049297862951926064,0.062412014910320224,-0.08750000000000002,-4.619999999999999,-2.700000000000003,1.9000000000000057,-1.0,0.011000000000000003,1.9800000000000004,0.5999999999999943,-1.3000000000000114,5.9799999999999995,-6.396041322596602,0,2005,1280,1390
5,7,13.0,-0.005811606334736208,-0.06087563493244996,-0.02088931083622239,-0.05375091965138612,-0.0036205937533844157,-0.04086585467532039,-12.271277541831523,-4.577540721048763,-1.428244189944781,-0.05072235560245453,-0.08864301158972054,0.0580357142857143,-15.630000000000003,-15.0,0.5999999999999943,0.0,0.062,-11.09,-6.0,5.1000000000000085,-0.7999999999999998,-263.25912637321585,0,2005,1277,1330
7,-1,-16.0,0.021839849620621687,0.03382725912968021,0.04359007088041933,0.031676630221770585,0.045706687499007526,0.03761975054118216,1.3479999814943682,-0.5741686906475962,0.058993208735214964,0.0110684022416212,-0.0006885128747049496,0.05672969966629582,1.040000000000001,0.9000000000000057,-0.19999999999998863,0.5,0.013000000000000001,-1.04,-1.5,-0.5,-0.9300000000000002,12.691701690239825,0,2005,1235,1278
8,7,42.0,0.0060667646139834774,0.019207155161254708,-0.004707736546262248,0.02498372322428799,0.02194831912955658,0.01479492044222741,5.6160269142594785,2.5581306897514224,1.130842006317394,-0.0030857748574936172,0.026081793957090982,0.12528735632183907,-4.82,0.7000000000000028,5.5,2.200000000000003,0.025,-10.42,-5.300000000000011,5.099999999999994,5.71,-103.38421789290373,0,2005,1210,1203
9,9,32.0,-0.10557642119240662,-0.03844480854794741,-0.0030692052943985526,-0.01955695961660714,0.07726850654049533,-0.008466340685025664,-6.173908261333921,9.588188338726596,-2.7641720933662377,-0.06872838142165105,-0.002384035072206636,-0.08924731182795709,-15.64,-6.6000000000000085,9.0,0.5,0.069,-4.41,-1.6999999999999886,2.700000000000003,0.05999999999999961,-365.40668036621105,0,2005,1196,1325
10,15,131.0,-0.12399199843144515,-0.02919871542410768,0.034686064286868545,-0.04610973594433576,0.018085405931453635,-0.009517106397074981,-11.548408652557455,8.430599779078761,-0.507243658074076,-0.01850142028188051,0.03402679656066787,-0.23958333333333337,-32.36,-13.400000000000006,18.900000000000006,-9.0,0.079,-18.36,-12.400000000000006,6.0,8.38,-699.3562144612085,0,2005,1181,1175
11,13,75.0,-0.08753281973798388,0.03865482792816921,0.02807479377278288,-0.03455899454195105,-0.056219282644347446,0.007135938309421053,-0.4112421710650267,10.470745532732707,0.34768929282659755,-0.019336497778082218,0.02042253745331546,-0.03448275862068961,-24.5,-7.099999999999994,17.39999999999999,-10.499999999999993,0.098,-17.13,-9.5,7.700000000000003,-3.58,-418.1827085313446,0,2005,1163,1416
12,-11,-60.0,0.020736842376442577,0.019292348466898424,-0.03723617831853457,0.03835189300468739,-0.058907035870760904,-0.0027577819725508324,10.572601130044944,4.345719329183623,2.3509068909936133,-0.008090516377396328,0.0028616918986789086,0.08342602892102335,16.389999999999997,13.399999999999991,-3.0999999999999943,3.3999999999999986,-0.055,12.79,6.699999999999989,-6.0,8.09,456.4086302500418,0,2005,1137,1242
13,-7,-42.0,0.0611823252159186,0.04936186444349533,-0.001263190015124177,-0.029859349372375443,0.09488642111469792,0.02769004156634669,7.271131901267964,5.274454707732744,1.3845377946003108,0.04833567501097602,0.04239899013830384,-0.04814814814814805,5.820000000000002,8.700000000000003,2.8999999999999915,-6.0,-0.046,4.529999999999999,1.9000000000000057,-2.700000000000003,-8.91,139.51394921486644,0,2005,1454,1104
14,3,15.0,-0.0038518142103546316,0.0022702479057447045,0.026875524182546018,0.025989207021707594,0.16355930527644108,0.03735871740374208,-0.360973769296848,3.491670177002689,-2.653341483053028,-0.0002041845800709874,-0.023896570736027356,-0.03931451612903225,-7.34,-2.299999999999997,5.0,1.500000000000007,0.065,-3.0599999999999996,-1.5,1.6000000000000085,-4.76,-119.12705973443508,0,2005,1356,1388
15,3,-20.0,0.035639838800346824,0.007032473427255326,0.007007551518787292,0.010451159248867192,0.06560277520782332,0.016495525381545917,1.9444686499604842,-1.4931733579783781,-1.8641127269920297,-0.010599057133246714,-0.01021141594097652,0.019550342130987386,-0.6699999999999999,0.20000000000000284,0.9000000000000057,-0.5,-0.11499999999999999,-4.7,-3.6999999999999886,0.9000000000000057,5.640000000000001,16.81428159678717,0,2005,1452,1166
16,13,124.0,-0.07010507771087415,-0.06437665153014993,0.038867254675371554,-0.013067009411308839,-0.024725371326915102,-0.022356054524516056,-17.3266612815155,-5.187573624346953,-1.614487003326957,0.044516869300062045,-0.005302123626257926,-0.20908004778972522,-24.83,-25.39999999999999,-0.7000000000000028,-1.3000000000000114,0.012999999999999998,-14.719999999999999,-7.300000000000011,7.400000000000006,0.8200000000000003,-444.3538103136257,0,2005,1448,1151
